Department,Department-Division,PCN,Position Title,FLSA Status,Initial Hire Date,Date in Title,Salary
CCC,CCC 041 Clerk of Circuit Court,S.020191,Deputy Clerk I (State),Non Exempt,10-Oct-2019,10-Oct-2019,32919.64
CCC,CCC 041 Clerk of Circuit Court,S.020182,Deputy Clerk IV (State),Non Exempt,01-Aug-1999,01-Apr-2012,56437.42
CCC,CCC 041 Clerk of Circuit Court,S.020186,Deputy Clerk I (State),Non Exempt,22-May-2014,22-May-2014,49151.96
CCC,CCC 041 Clerk of Circuit Court,S.020169,Deputy Clerk II (State),Non Exempt,16-Feb-2008,01-Apr-2012,48237.28
CCC,CCC 041 Clerk of Circuit Court,S.020170,Deputy Clerk II (State),Non Exempt,16-Apr-2002,01-May-2012,41309.06
CCC,CCC 041 Clerk of Circuit Court,S.020188,Deputy Clerk I (State),Non Exempt,01-Sep-2011,01-Sep-2011,39849.94
CCC,CCC 041 Clerk of Circuit Court,S.020150,Comptroller (State),Exempt,01-Jul-2001,01-Jun-2009,76730.68
CCC,CCC 041 Clerk of Circuit Court,B.006390,Clerk II,Non Exempt,26-Mar-2020,26-Mar-2020,32068.40
CCC,CCC 041 Clerk of Circuit Court,S.020159,Deputy Clerk I (State),Non Exempt,01-Nov-2013,22-Feb-2015,44870.02
CCC,CCC 041 Clerk of Circuit Court,S.020155,Chief Deputy Clerk II (State),Exempt,01-Jul-1990,01-Jan-2004,101324.60
CCC,CCC 041 Clerk of Circuit Court,S.020187,Deputy Clerk I (State),Non Exempt,16-Aug-2018,16-Aug-2018,33086.04
CCC,CCC 041 Clerk of Circuit Court,S.020196,Deputy Clerk I (State),Non Exempt,16-Sep-2010,16-Sep-2010,36268.44
CCC,CCC 041 Clerk of Circuit Court,S.020189,Deputy Clerk I (State),Non Exempt,01-Mar-2012,01-Mar-2012,34438.04
CCC,CCC 041 Clerk of Circuit Court,S.020190,Deputy Clerk I (State),Non Exempt,16-Sep-2010,16-Sep-2010,44437.12
CCC,CCC 041 Clerk of Circuit Court,S.020183,Deputy Clerk IV (State),Non Exempt,01-Feb-2000,01-Apr-2012,52424.58
CCC,CCC 041 Clerk of Circuit Court,S.020162,Deputy Clerk I (State),Non Exempt,01-Sep-2013,13-Sep-2018,33606.04
CCC,CCC 041 Clerk of Circuit Court,S.020160,Deputy Clerk I (State),Non Exempt,01-Mar-2013,01-Mar-2013,39160.16
CCC,CCC 041 Clerk of Circuit Court,S.020171,Deputy Clerk II (State),Non Exempt,07-Aug-2000,01-Apr-2012,42182.66
CCC,CCC 041 Clerk of Circuit Court,S.020035,Chief Deputy Clerk I (State),Exempt,01-Jul-1990,16-Jul-2000,96279.56
CCC,CCC 041 Clerk of Circuit Court,B.006702,Clerk II,Non Exempt,06-May-2021,06-May-2021,31387.20
CCC,CCC 041 Clerk of Circuit Court,S.020172,Deputy Clerk II (State),Non Exempt,01-Apr-1996,01-Nov-2003,41558.66
CCC,CCC 041 Clerk of Circuit Court,S.020161,Deputy Clerk I (State),Non Exempt,22-Nov-2015,22-Nov-2015,34042.84
CCC,CCC 041 Clerk of Circuit Court,S.020178,Deputy Clerk III (State),Non Exempt,12-Jun-1987,28-Sep-2007,51671.36
CCC,CCC 041 Clerk of Circuit Court,S.020177,Deputy Clerk II (State),Non Exempt,09-Jul-2001,01-Apr-2012,43308.98
CCC,CCC 041 Clerk of Circuit Court,S.020163,Deputy Clerk I (State),Non Exempt,01-Dec-2008,01-Dec-2008,35103.64
CCC,CCC 041 Clerk of Circuit Court,S.020173,Deputy Clerk II (State),Non Exempt,16-Jun-2007,01-Apr-2012,41309.06
CCC,CCC 041 Clerk of Circuit Court,S.020174,Deputy Clerk II (State),Non Exempt,03-Aug-1995,01-Oct-2001,46388.16
CCC,CCC 041 Clerk of Circuit Court,B.005729,Clerk III,Non Exempt,01-Oct-1998,01-Dec-2000,42307.20
CCC,CCC 041 Clerk of Circuit Court,S.020179,Deputy Clerk II (State),Non Exempt,22-Nov-2015,15-Aug-2019,35630.66
CCC,CCC 041 Clerk of Circuit Court,S.020198,Deputy Clerk I (State),Non Exempt,07-Oct-2016,07-Oct-2016,33918.04
CCC,CCC 041 Clerk of Circuit Court,S.020164,Deputy Clerk I (State),Non Exempt,25-Oct-2018,25-Oct-2018,32919.64
CCC,CCC 041 Clerk of Circuit Court,S.020618.1,Deputy Clerk III (State),Non Exempt,30-Jul-1982,01-Jan-2004,47923.46
CCC,CCC 041 Clerk of Circuit Court,S.020619.1,Deputy Clerk III (State),Non Exempt,01-Jul-1990,01-Sep-2001,48901.06
CCC,CCC 041 Clerk of Circuit Court,S.020165,Deputy Clerk I (State),Non Exempt,07-Jul-2015,07-Jul-2015,35436.44
CCC,CCC 041 Clerk of Circuit Court,B.006389,Clerk III,Non Exempt,01-Nov-1995,11-Oct-2018,42307.20
CCC,CCC 041 Clerk of Circuit Court,S.020038,Clerk of the Circuit Court (State),Exempt,01-Nov-1991,01-Jan-2004,194348.70
CCC,CCC 041 Clerk of Circuit Court,S.020151.2,Chief Deputy Clerk I (State),Exempt,01-Jul-1990,01-Jan-2004,96632.90
CCC,CCC 041 Clerk of Circuit Court,S.020166,Deputy Clerk I (State),Non Exempt,07-Jun-2015,07-Jun-2015,35394.84
CCC,CCC 041 Clerk of Circuit Court,S.020194,Deputy Clerk I (State),Non Exempt,03-Jun-2002,01-May-2012,35311.64
CCC,CCC 041 Clerk of Circuit Court,S.020197,Deputy Clerk I (State),Non Exempt,24-Sep-2020,24-Sep-2020,32344.00
CCC,CCC 041 Clerk of Circuit Court,S.020175,Deputy Clerk II (State),Non Exempt,01-Sep-2006,01-Apr-2012,41309.06
CCC,CCC 041 Clerk of Circuit Court,S.020040,Deputy Clerk I (State),Non Exempt,26-Sep-2019,26-Sep-2019,32192.94
CCC,CCC 041 Clerk of Circuit Court,S.020167,Deputy Clerk I (State),Non Exempt,01-Aug-1999,01-Jun-2001,37578.84
CCC,CCC 041 Clerk of Circuit Court,S.020176,Deputy Clerk II (State),Non Exempt,09-Sep-1996,01-Apr-2012,46336.16
CCC,CCC 041 Clerk of Circuit Court,S.020180,Deputy Clerk III (State),Non Exempt,16-Dec-1997,01-Apr-2012,49517.52
CCC,CCC 041 Clerk of Circuit Court,S.020195,Deputy Clerk I (State),Non Exempt,01-Dec-2011,01-Dec-2011,39878.80
CCC,CCC 041 Clerk of Circuit Court,S.020184,Deputy Clerk IV (State),Non Exempt,07-Apr-1997,01-Apr-2012,61102.08
CCC,CCC 041 Clerk of Circuit Court,S.020168,Deputy Clerk I (State),Non Exempt,18-May-2005,16-May-2008,37350.04
CIR,CIR 011 Circuit Court/Judges Office,B.002621.2,Judicial Administrative Assistant,Non Exempt,09-Dec-1994,01-Jul-2017,53895.14
CIR,CIR 011 Circuit Court/Judges Office,B.000176.2,Judicial Administrative Assistant,Non Exempt,16-Dec-1987,01-Jul-2006,69305.60
CIR,CIR 011 Circuit Court/Judges Office,B.003816,Court Administrator,Exempt,01-Jul-1990,01-Jun-2003,123385.60
CIR,CIR 011 Circuit Court/Judges Office,B.005757,Judicial Assistant,Non Exempt,21-May-2020,25-Mar-2021,35193.60
CIR,CIR 011 Circuit Court/Judges Office,B.004909.3,Business Application Specialist II,Exempt,16-Mar-1990,01-Nov-2006,71785.48
CIR,CIR 011 Circuit Court/Judges Office,N.090175,Judicial Assistant,Non Exempt,01-Jul-2021,,17.67
CIR,CIR 011 Circuit Court/Judges Office,B.004012,Staff Attorney,Exempt,16-Jul-1998,16-Jul-1998,110542.38
CIR,CIR 011 Circuit Court/Judges Office,B.001911,Judicial Assistant,Non Exempt,01-Jul-2005,01-Feb-2014,41699.06
CIR,CIR 011 Circuit Court/Judges Office,B.005758,Law Clerk,Exempt,12-Aug-2021,,52208.00
CIR,CIR 011 Circuit Court/Judges Office,B.005154.2,Judicial Administrative Assistant,Non Exempt,01-Aug-1997,01-Jul-2017,64274.34
CIR,CIR 011 Circuit Court/Judges Office,B.005218,Law Clerk,Exempt,29-Jul-2021,29-Jul-2021,52208.00
CIR,CIR 011 Circuit Court/Judges Office,B.004582,Law Clerk,Exempt,27-Aug-2020,27-Aug-2020,52208.00
CIR,CIR 011 Circuit Court/Judges Office,B.000619,Jury Specialist,Non Exempt,07-Jan-2016,07-Jan-2016,42031.34
CIT,CIT 114 Mail Service,B.002220,Distribution Clerk II,Non Exempt,22-Feb-2015,04-Jan-2018,32405.88
CIT,CIT 114 Mail Service,B.005961.1,Distribution Clerk II,Non Exempt,01-Jun-2009,01-May-2012,33133.88
CIT,CIT 114 Mail Service,B.000146,Distribution Clerk Supervisor,Non Exempt,01-Feb-2018,01-Feb-2018,48828.00
CIT,CIT 120 Information Technology Business Center,B.003001.3,Accountant II,Exempt,07-Jul-2016,15-Feb-2018,56452.50
CIT,CIT 120 Information Technology Business Center,B.002190.2,Financial Specialist,Non Exempt,24-May-2018,17-Jan-2019,51024.74
CIT,CIT 120 Information Technology Business Center,B.002808.1,Administrative Technician,Non Exempt,11-May-2017,07-Jun-2018,39863.20
CIT,CIT 120 Information Technology Business Center,B.001871,Account Clerk II,Non Exempt,05-Jul-2018,02-Aug-2018,33612.02
CIT,CIT 120 Information Technology Business Center,B.005852.4,Media and Communications Coordinator II,Non Exempt,06-Jul-2017,06-Jul-2017,56434.82
CIT,CIT 120 Information Technology Business Center,B.005463,Account Clerk II,Non Exempt,08-Nov-2018,08-Nov-2018,33612.02
CIT,CIT 120 Information Technology Business Center,B.003191,Administrative Services Manager II,Exempt,14-Feb-2019,14-Feb-2019,88285.60
CIT,CIT 120 Information Technology Business Center,B.003613,Account Clerk III,Non Exempt,07-Oct-2014,02-Mar-2017,39494.26
CIT,CIT 120 Information Technology Business Center,B.004374.3,Systems Analyst II,Exempt,26-Aug-2021,,81120.00
CIT,CIT 120 Information Technology Business Center,B.003212,Executive Assistant II,Non Exempt,07-Nov-2019,29-Jul-2021,40768.00
CIT,CIT 120 Information Technology Business Center,B.007461.1,Systems Analyst II,Exempt,09-May-2019,09-May-2019,77930.84
CIT,CIT 120 Information Technology Business Center,B.006845.4,Systems Analyst II,Exempt,06-Dec-2018,06-Dec-2018,85023.64
CIT,CIT 120 Information Technology Business Center,B.001351.2,Special Projects Coordinator,Exempt,01-Oct-2005,05-Jan-2017,70537.48
CIT,CIT 120 Information Technology Business Center,B.000474.3,Systems Analyst III,Exempt,07-Nov-2015,27-Apr-2017,91329.68
CIT,CIT 120 Information Technology Business Center,B.003339,Chief Information Officer,Exempt,13-Apr-2017,13-Apr-2017,165041.50
CIT,CIT 121 Applications Support,B.007003.2,Systems Analyst II,Exempt,07-Jun-2015,07-Jun-2015,90826.84
CIT,CIT 121 Applications Support,B.007460.2,Systems Analyst II,Exempt,21-May-2020,21-May-2020,76100.44
CIT,CIT 121 Applications Support,B.007454,Systems Analyst III,Exempt,03-Jan-2019,03-Jan-2019,93097.68
CIT,CIT 121 Applications Support,B.003552.3,Systems Analyst III,Exempt,16-Mar-2011,16-Mar-2011,104662.48
CIT,CIT 121 Applications Support,B.007453,Systems Analyst II,Exempt,14-Mar-2019,14-Mar-2019,77930.84
CIT,CIT 121 Applications Support,B.006190.4,Systems Analyst II,Exempt,07-Nov-2019,07-Nov-2019,76100.44
CIT,CIT 121 Applications Support,B.000198,Systems Analyst II,Exempt,01-Nov-2001,01-Sep-2011,102849.24
CIT,CIT 121 Applications Support,B.003563.1,Programmer/Analyst II,Exempt,16-Mar-1985,16-Feb-1990,87318.40
CIT,CIT 121 Applications Support,B.005948,Systems Analyst III,Exempt,16-Feb-2004,16-Feb-2004,117436.80
CIT,CIT 121 Applications Support,B.006434.1,Systems Analyst I,Exempt,22-Nov-2016,22-Nov-2016,71865.56
CIT,CIT 121 Applications Support,B.001976.4,IT Deputy Chief of Enterprise Solutions and Services,Exempt,16-Sep-1988,01-Oct-2009,132749.50
CIT,CIT 121 Applications Support,B.000502.2,IT Deputy Chief of Enterprise Solutions and Services,Exempt,01-Apr-1999,22-Jun-2017,136011.20
CIT,CIT 121 Applications Support,B.003199.2,Systems Analyst II,Exempt,06-May-2021,06-May-2021,73736.00
CIT,CIT 121 Applications Support,B.006402.2,Systems Analyst II,Exempt,30-Jan-2020,30-Jan-2020,78673.92
CIT,CIT 121 Applications Support,B.003526.3,Systems Analyst II,Exempt,25-Mar-2021,25-Mar-2021,78999.96
CIT,CIT 121 Applications Support,B.006192,Systems Analyst II,Exempt,13-Feb-2020,13-Feb-2020,94092.44
CIT,CIT 121 Applications Support,B.007311,Systems Analyst III,Exempt,26-Oct-2017,26-Oct-2017,94366.48
CIT,CIT 121 Applications Support,B.006191.2,Systems Analyst III,Exempt,01-Jul-2005,01-Jul-2005,111006.48
CIT,CIT 121 Applications Support,B.001857.2,Systems Analyst II,Exempt,08-Jun-2017,08-Jun-2017,89620.44
CIT,CIT 121 Applications Support,B.003591.3,Systems Analyst II,Exempt,03-Aug-2017,03-Aug-2017,79740.44
CIT,CIT 121 Applications Support,B.007455,Systems Analyst II,Exempt,08-Apr-2021,04-Sep-2021,75000.12
CIT,CIT 121 Applications Support,B.002790.3,Systems Analyst II,Exempt,27-Sep-2018,27-Sep-2018,90514.84
CIT,CIT 121 Applications Support,B.007312,Systems Analyst III,Exempt,28-Mar-2019,28-Mar-2019,81886.48
CIT,CIT 121 Applications Support,B.007144,Systems Analyst III,Exempt,01-Oct-2013,16-Feb-2017,105036.88
CIT,CIT 121 Applications Support,B.003398.2,Systems Analyst I,Exempt,16-Oct-2013,28-Mar-2019,67206.36
CIT,CIT 121 Applications Support,B.001790,Programmer/Analyst III,Exempt,16-Jan-1982,01-Jan-1991,96387.20
CIT,CIT 121 Applications Support,B.003703.1,Systems Analyst II,Exempt,07-Jun-2016,07-Jun-2016,82548.44
CIT,CIT 121 Applications Support,B.006193,Systems Analyst III,Exempt,29-Mar-2018,12-Sep-2019,94948.88
CIT,CIT 121 Applications Support,B.005459.3,Systems Analyst II,Exempt,27-Aug-2020,27-Aug-2020,85999.94
CIT,CIT 121 Applications Support,B.001145.1,Systems Analyst II,Exempt,26-Apr-2018,26-Apr-2018,75566.40
CIT,CIT 121 Applications Support,B.001309.1,Systems Analyst II,Exempt,01-Nov-1979,16-Dec-2013,83858.84
CIT,CIT 121 Applications Support,B.006734.2,Systems Analyst II,Exempt,07-May-2016,07-May-2016,82548.44
CIT,CIT 121 Applications Support,B.000946.3,Systems Engineer III,Exempt,22-Jun-2017,22-Jun-2017,125082.62
CIT,CIT 121 Applications Support,B.003602.1,Systems Analyst II,Exempt,22-Jul-2014,22-Jul-2014,90930.84
CIT,CIT 121 Applications Support,B.000795.3,Systems Analyst II,Exempt,01-May-2009,22-Jun-2015,83650.84
CIT,CIT 121 Applications Support,B.006738.1,Systems Analyst II,Exempt,01-Apr-2002,29-Mar-2018,101518.04
CIT,CIT 121 Applications Support,B.005960.2,Systems Analyst II,Exempt,16-Nov-1988,01-Apr-2012,97150.04
CIT,CIT 121 Applications Support,B.003946.1,Systems Analyst II,Exempt,01-Jun-1998,06-Jul-2017,92823.64
CIT,CIT 121 Applications Support,B.005829.1,Systems Analyst III,Exempt,16-Nov-2010,16-Nov-2010,112296.08
CIT,CIT 121 Applications Support,B.006507.3,Systems Analyst I,Exempt,21-Nov-2019,21-Nov-2019,68599.96
CIT,CIT 121 Applications Support,B.003381,Systems Analyst III,Exempt,01-Jun-2010,01-Jun-2010,89873.68
CIT,CIT 121 Applications Support,B.002964,Systems Analyst III,Exempt,01-Dec-2002,01-Dec-2002,117436.80
CIT,CIT 121 Applications Support,B.001159,Systems Analyst II,Exempt,07-Nov-2016,07-Nov-2016,81550.04
CIT,CIT 121 Applications Support,B.006443.3,Systems Analyst II,Exempt,20-Jul-2017,20-Jul-2017,79844.44
CIT,CIT 121 Applications Support,B.007316.1,Systems Analyst II,Exempt,14-Feb-2019,14-Feb-2019,91908.44
CIT,CIT 121 Applications Support,B.006732.1,Systems Analyst II,Exempt,01-Nov-1987,28-Jan-2021,107633.24
CIT,CIT 122 Data & Information Management,B.000577.2,Systems Engineer II,Exempt,16-Sep-2013,22-Oct-2016,104721.24
CIT,CIT 122 Data & Information Management,B.001434.3,IT Deputy Chief of Data and Information Management,Exempt,29-Mar-2018,29-Mar-2018,136011.20
CIT,CIT 122 Data & Information Management,B.001013.2,Systems Engineer II,Exempt,12-Sep-2019,12-Sep-2019,83297.24
CIT,CIT 122 Data & Information Management,B.004377.1,Systems Engineer III,Exempt,16-Jun-2010,27-Sep-2018,107985.02
CIT,CIT 122 Data & Information Management,B.002822.1,Systems Engineer II,Exempt,01-Jun-2006,01-Sep-2010,111779.20
CIT,CIT 122 Data & Information Management,B.006194.1,Systems Engineer III,Exempt,16-Feb-2004,24-Sep-2020,123460.22
CIT,CIT 122 Data & Information Management,B.003494.2,Systems Engineer II,Exempt,07-Feb-2016,07-Feb-2016,97087.64
CIT,CIT 122 Data & Information Management,B.000890.1,Systems Engineer II,Exempt,22-Feb-2015,22-Feb-2015,94362.84
CIT,CIT 123 Systems Support,B.006733.2,IT Support Center Specialist II,Non Exempt,01-Oct-2001,01-Oct-2012,65977.60
CIT,CIT 123 Systems Support,B.003632,Systems Engineer II,Exempt,16-Dec-2013,07-Nov-2016,97462.04
CIT,CIT 123 Systems Support,B.005508.1,Systems Engineer I,Exempt,13-Aug-2020,13-Aug-2020,71781.84
CIT,CIT 123 Systems Support,B.006736,Systems Engineer I,Exempt,16-Sep-1998,16-Dec-2013,89873.16
CIT,CIT 123 Systems Support,B.002865,Systems Engineer II,Exempt,14-Jan-2021,14-Jan-2021,95000.10
CIT,CIT 123 Systems Support,B.007004.2,Systems Engineer III,Exempt,04-Jan-2021,04-Jan-2021,104999.96
CIT,CIT 123 Systems Support,B.005023.1,Microcomputer Systems Analyst I,Exempt,16-Feb-2017,16-Feb-2017,53709.24
CIT,CIT 123 Systems Support,B.005779.2,Systems Engineer III,Exempt,01-Jul-2005,16-Jan-2013,110793.02
CIT,CIT 123 Systems Support,B.005553.3,IT Support Supervisor,Exempt,15-Feb-2018,15-Aug-2019,60528.00
CIT,CIT 123 Systems Support,B.006433,Systems Engineer II,Exempt,15-Jul-2021,15-Jul-2021,90000.04
CIT,CIT 123 Systems Support,B.005771.1,Microcomputer Systems Analyst II,Exempt,16-Mar-1999,31-Dec-2020,70112.12
CIT,CIT 123 Systems Support,B.006077.3,Systems Engineer II,Exempt,23-Nov-2017,25-Mar-2021,79551.68
CIT,CIT 123 Systems Support,B.007458,Systems Engineer II,Exempt,25-Oct-2018,25-Oct-2018,84337.24
CIT,CIT 123 Systems Support,B.001425.2,Systems Engineer I,Exempt,07-Dec-2015,16-Feb-2017,78245.96
CIT,CIT 123 Systems Support,B.002703.1,Computer Operator II,Non Exempt,10-Sep-2020,10-Sep-2020,35152.00
CIT,CIT 123 Systems Support,B.000802.1,Systems Engineer I,Exempt,07-Dec-2017,07-Dec-2017,72255.56
CIT,CIT 123 Systems Support,B.003918.2,Microcomputer Systems Analyst II,Exempt,06-Jul-2017,06-Jul-2017,64537.72
CIT,CIT 123 Systems Support,B.004327.1,Systems Engineer II,Exempt,22-Sep-2016,22-Sep-2016,79844.44
CIT,CIT 123 Systems Support,B.005074.2,Systems Engineer III,Exempt,03-Aug-1987,07-Sep-2016,115202.62
CIT,CIT 123 Systems Support,B.007145.1,Systems Engineer I,Exempt,07-Mar-2015,22-Jun-2017,73191.56
CIT,CIT 123 Systems Support,B.004121,Systems Engineer III,Exempt,21-Nov-2019,21-Nov-2019,104837.72
CIT,CIT 123 Systems Support,B.006432.2,Systems Engineer II,Exempt,01-Feb-2009,07-Sep-2016,96193.24
CIT,CIT 123 Systems Support,B.001526.1,Computer Operations Supervisor,Exempt,01-Jan-2004,01-Jan-2004,91748.80
CIT,CIT 123 Systems Support,B.005642,Systems Engineer II,Exempt,07-Dec-2015,07-Dec-2015,108756.44
CIT,CIT 123 Systems Support,B.001783.1,Systems Analyst III,Exempt,23-May-1994,22-Jul-2015,100648.08
CIT,CIT 123 Systems Support,B.007457.3,Systems Analyst II,Exempt,16-Aug-2018,16-Aug-2018,81903.64
